setN;elemId;elemType;As1Ti;As1Tj;As1Bi;As1Bj;As2Ti;As2Tj;As2Bi;As2Bj;Asw1i;Asw1j;Asw2i;Asw2j;Reinf1;Reinf2;Crack1i;Crack1j;Crack2i;Crack2j;Sw1i;Sw1j;Sw2i;Sw2j;ls1i;ls1j;ls2i;ls2j
1;325700;1;4.19653449164498e-05;4.1963189810293843e-05;4.19653449164498e-05;4.1963189810293843e-05;4.19653449164498e-05;4.1963189810293843e-05;4.19653449164498e-05;4.1963189810293843e-05;0.00018227556335449356;0.0001822662026977553;0.00018227556335449356;0.0001822662026977553;0.0001554272033942598;0.0001554272033942598;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325701;1;1.0691075445104567e-05;1.0689409072310875e-05;1.0691075445104567e-05;1.0689409072310875e-05;1.0691075445104567e-05;1.0689409072310875e-05;1.0691075445104567e-05;1.0689409072310875e-05;4.643645378112828e-05;4.642921592712437e-05;4.643645378112828e-05;4.642921592712437e-05;3.959657572260983e-05;3.959657572260983e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325702;1;8.100373656661451e-07;8.122860590616891e-07;8.100373656661451e-07;8.122860590616891e-07;8.100373656661451e-07;8.122860590616891e-07;8.100373656661451e-07;8.122860590616891e-07;3.518379688262966e-06;3.5281468391418724e-06;3.518379688262966e-06;3.5281468391418724e-06;3.0084668854136876e-06;3.0084668854136876e-06;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325712;1;1.6958658739372596e-07;1.690601591710697e-07;1.6958658739372596e-07;1.690601591710697e-07;1.6958658739372596e-07;1.690601591710697e-07;1.6958658739372596e-07;1.690601591710697e-07;7.365956556797083e-07;7.343091261386926e-07;7.365956556797083e-07;7.343091261386926e-07;6.280984718286198e-07;6.280984718286198e-07;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325713;1;1.9693989167390117e-05;1.9692604856137948e-05;1.9693989167390117e-05;1.9692604856137948e-05;1.9693989167390117e-05;1.9692604856137948e-05;1.9693989167390117e-05;1.9692604856137948e-05;8.554041381836002e-05;8.553440109252994e-05;8.554041381836002e-05;8.553440109252994e-05;7.2940700619964e-05;7.2940700619964e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325714;1;3.7425022379557424e-05;3.7422882871274726e-05;3.7425022379557424e-05;3.7422882871274726e-05;3.7425022379557424e-05;3.7422882871274726e-05;3.7425022379557424e-05;3.7422882871274726e-05;0.00016255477111816528;0.00016254547821045046;0.00016255477111816528;0.00016254547821045046;0.00013861119399836196;0.00013861119399836196;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325715;1;4.802264381691279e-05;4.801969061957482e-05;4.802264381691279e-05;4.801969061957482e-05;4.802264381691279e-05;4.801969061957482e-05;4.802264381691279e-05;4.801969061957482e-05;0.00020858530944824376;0.00020857248229980626;0.00020858530944824376;0.00020857248229980626;0.0001778616437663451;0.0001778616437663451;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325716;1;5.381210643627045e-05;5.380835774739603e-05;5.381210643627045e-05;5.380835774739603e-05;5.381210643627045e-05;5.380835774739603e-05;5.381210643627045e-05;5.380835774739603e-05;0.0002337317144775408;0.00023371543212890802;0.0002337317144775408;0.00023371543212890802;0.0001993040979121144;0.0001993040979121144;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325717;1;5.083304262514486e-05;5.08287896050349e-05;5.083304262514486e-05;5.08287896050349e-05;5.083304262514486e-05;5.08287896050349e-05;5.083304262514486e-05;5.08287896050349e-05;0.00022079221557617354;0.00022077374267578294;0.00022079221557617354;0.00022077374267578294;0.0001882705282412788;0.0001882705282412788;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325718;1;2.791985258879495e-05;2.7920546694155193e-05;2.791985258879495e-05;2.7920546694155193e-05;2.791985258879495e-05;2.7920546694155193e-05;2.791985258879495e-05;2.7920546694155193e-05;0.0001212692727661142;0.00012127228759765716;0.0001212692727661142;0.00012127228759765716;0.00010340943220057563;0.00010340943220057563;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325719;1;8.557729622169808e-06;8.555690200240555e-06;8.557729622169808e-06;8.555690200240555e-06;8.557729622169808e-06;8.555690200240555e-06;8.557729622169808e-06;8.555690200240555e-06;3.7170312576294226e-05;3.716145439147977e-05;3.7170312576294226e-05;3.716145439147977e-05;3.1695294896925476e-05;3.1695294896925476e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325703;1;1.3348886108398486e-05;1.3351217990451438e-05;1.3348886108398486e-05;1.3351217990451438e-05;1.3348886108398486e-05;1.3351217990451438e-05;1.3348886108398486e-05;1.3351217990451438e-05;5.798059661865278e-05;5.799072509765669e-05;5.798059661865278e-05;5.799072509765669e-05;4.9448955520190916e-05;4.9448955520190916e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325195;1;3.4580755389178364e-05;3.458321985315406e-05;3.4580755389178364e-05;3.458321985315406e-05;3.4580755389178364e-05;3.458321985315406e-05;3.4580755389178364e-05;3.458321985315406e-05;0.00015020075927734487;0.000150211463623048;0.00015020075927734487;0.000150211463623048;0.00012808599945612718;0.00012808599945612718;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325196;1;4.233501711244951e-05;4.233907775878922e-05;4.233501711244951e-05;4.233907775878922e-05;4.233501711244951e-05;4.233907775878922e-05;4.233501711244951e-05;4.233907775878922e-05;0.0001838812265014662;0.00018389886383056778;0.0001838812265014662;0.00018389886383056778;0.000156811399106628;0.000156811399106628;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325197;1;4.4029624656394835e-05;4.403545306170444e-05;4.4029624656394835e-05;4.403545306170444e-05;4.4029624656394835e-05;4.403545306170444e-05;4.4029624656394835e-05;4.403545306170444e-05;0.0001912417175292983;0.00019126703308105613;0.0001912417175292983;0.00019126703308105613;0.00016309427059890667;0.00016309427059890667;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325198;1;4.011781062373423e-05;4.012498044614453e-05;4.011781062373423e-05;4.012498044614453e-05;4.011781062373423e-05;4.012498044614453e-05;4.011781062373423e-05;4.012498044614453e-05;0.0001742508383178724;0.00017428198028564585;0.0001742508383178724;0.00017428198028564585;0.0001486110386894254;0.0001486110386894254;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325199;1;3.582349774395991e-05;3.5831335675275014e-05;3.582349774395991e-05;3.5831335675275014e-05;3.582349774395991e-05;3.5831335675275014e-05;3.582349774395991e-05;3.5831335675275014e-05;0.0001555985836792004;0.00015563262756347775;0.0001555985836792004;0.00015563262756347775;0.0001327086506491678;0.0001327086506491678;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325200;1;3.1997061270254744e-05;3.200504218207477e-05;3.1997061270254744e-05;3.200504218207477e-05;3.1997061270254744e-05;3.200504218207477e-05;3.1997061270254744e-05;3.200504218207477e-05;0.00013897854003906354;0.00013901320495605574;0.00013897854003906354;0.00013901320495605574;0.00011853719326694457;0.00011853719326694457;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325201;1;2.7957667032877704e-05;2.7965476368091824e-05;2.7957667032877704e-05;2.7965476368091824e-05;2.7957667032877704e-05;2.7965476368091824e-05;2.7957667032877704e-05;2.7965476368091824e-05;0.0001214335189819345;0.00012146743865966889;0.0001214335189819345;0.00012146743865966889;0.00010357583840034093;0.00010357583840034093;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325202;1;2.318231054235396e-05;2.3189703934281045e-05;2.318231054235396e-05;2.3189703934281045e-05;2.318231054235396e-05;2.3189703934281045e-05;2.318231054235396e-05;2.3189703934281045e-05;0.00010069186187744217;0.00010072397491455154;0.00010069186187744217;0.00010072397491455154;8.588779234918976e-05;8.588779234918976e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325743;1;5.096183621441895e-06;5.095564905802427e-06;5.096183621441895e-06;5.095564905802427e-06;5.096183621441895e-06;5.095564905802427e-06;5.096183621441895e-06;5.095564905802427e-06;2.213516277313249e-05;2.2132475395202802e-05;2.213516277313249e-05;2.2132475395202802e-05;1.8874754153488653e-05;1.8874754153488653e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325744;1;7.880423821343344e-06;7.880812468352169e-06;7.880423821343344e-06;7.880812468352169e-06;7.880423821343344e-06;7.880812468352169e-06;7.880423821343344e-06;7.880812468352169e-06;3.4228449554443616e-05;3.42301376342776e-05;3.4228449554443616e-05;3.42301376342776e-05;2.9188194327230494e-05;2.9188194327230494e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325745;1;1.7702188845034063e-05;1.7702524199309235e-05;1.7702188845034063e-05;1.7702524199309235e-05;1.7702188845034063e-05;1.7702524199309235e-05;1.7702188845034063e-05;1.7702524199309235e-05;7.688907241821348e-05;7.689052902221738e-05;7.688907241821348e-05;7.689052902221738e-05;6.556490444188659e-05;6.556490444188659e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325746;1;2.5337809244791757e-05;2.5338206990559987e-05;2.5337809244791757e-05;2.5338206990559987e-05;2.5337809244791757e-05;2.5338206990559987e-05;2.5337809244791757e-05;2.5338206990559987e-05;0.00011005422363281332;0.00011005595123291098;0.00011005422363281332;0.00011005595123291098;9.384521107614886e-05;9.384521107614886e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325747;1;1.393985183150685e-05;1.3938581904658615e-05;1.393985183150685e-05;1.3938581904658615e-05;1.393985183150685e-05;1.3938581904658615e-05;1.393985183150685e-05;1.3938581904658615e-05;6.054744338989304e-05;6.054192749023483e-05;6.054744338989304e-05;6.054192749023483e-05;5.16290808574332e-05;5.16290808574332e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325203;1;2.057323738380722e-05;2.0573772910789283e-05;2.057323738380722e-05;2.0573772910789283e-05;2.057323738380722e-05;2.0573772910789283e-05;2.057323738380722e-05;2.0573772910789283e-05;8.935940933227605e-05;8.936173538208075e-05;8.935940933227605e-05;8.936173538208075e-05;7.619915892884981e-05;7.619915892884981e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325204;1;1.708574659559468e-05;1.708953427915226e-05;1.708574659559468e-05;1.708953427915226e-05;1.708574659559468e-05;1.708953427915226e-05;1.708574659559468e-05;1.708953427915226e-05;7.421156890869196e-05;7.422802062988338e-05;7.421156890869196e-05;7.422802062988338e-05;6.329457140426815e-05;6.329457140426815e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
